upgradeId,displayName,category,baseCost,costMultiplier,maxLevel,upgradeType,valuePerLevel,prerequisiteId,gridX,gridY,requirePrerequisitesMaxLevel,isMajorNode,description,flavorText
root_compression_core,Compression Core,Compression,0,1.0,1,CompressionThresholdReduction,0.0,,0,0,false,true,Central free hub. Unlocks the main upgrade board.,The central compression core that links all mainboard growth paths.
root_memory_contact,Memory Contact,Pin,10,1.0,1,BasePinValueIncrease,0.0,root_compression_core,0,2,false,true,Unlocks the Pin value upgrade branch.,Primary memory contact surface for Plinko pin calculations.
root_output_register,Output Register,Slot,10,1.0,1,BaseSlotValueIncrease,0.0,root_compression_core,2,0,false,true,Unlocks the Slot value upgrade branch.,Final output register for resolved Plinko rewards.
root_error_firmware,Error Firmware,ErrorCorrection,10,1.0,1,ErrorPinRateReduction,0.0,root_compression_core,0,-2,false,true,Unlocks the Error Correction upgrade branch.,Firmware layer responsible for stabilizing faulty memory states.
root_amplifier_chipset,Amplifier Chipset,Chipset,10,1.0,1,ChipsetTierAmplifier,0.0,root_compression_core,-2,0,false,true,Unlocks the Chipset upgrade branch.,Special purpose chipset socket for run-limited multiplier effects.
compression_threshold_array,Threshold Compression Array,Compression,35,1.42,5,CompressionThresholdReduction,1.0,root_compression_core,1,1,false,false,Reduces Compression Threshold by 1 per level.,Compresses hit packets before Power Shutdown.
compression_parallel_bus,Parallel Packet Bus,Compression,90,1.48,4,CompressionThresholdReduction,1.0,compression_threshold_array,2,2,false,false,Further reduces Compression Threshold by 1 per level.,Routes multiple hit packets through a wider compression bus.
compression_refinement_kernel,Compression Refinement Kernel,Compression,180,1.55,3,CompressionThresholdReduction,1.0,compression_parallel_bus,3,2,true,true,Late-tier Compression Threshold reduction.,A refined kernel that extracts more Plinko preparation from the same table activity.
compression_memory_bridge,Compression Memory Bridge,Compression,80,1.44,4,BasePinValueIncrease,1.5,compression_threshold_array|root_memory_contact,1,3,false,false,Adds base Pin value from compression branch.,Compressed packets improve memory contact calibration.
compression_output_bridge,Compression Output Bridge,Compression,80,1.44,4,BaseSlotValueIncrease,1.5,compression_threshold_array|root_output_register,3,1,false,false,Adds base Slot value from compression branch.,Compressed packets improve final output stability.
compression_fault_filter,Compression Fault Filter,Compression,95,1.46,4,ErrorPinRateReduction,0.004,compression_threshold_array|root_error_firmware,1,-1,false,false,Reduces Error Pin rate slightly per level.,Filters malformed packets before they reach the Plinko memory plane.
pin_value_matrix,Pin Value Matrix,Pin,40,1.4,5,BasePinValueIncrease,2.0,root_memory_contact,0,4,false,false,Increases base Pin value by 2 per level.,Expands the memory contact grid.
pin_dense_lattice,Dense Pin Lattice,Pin,100,1.48,4,BasePinValueIncrease,3.0,pin_value_matrix,-1,5,false,false,Increases base Pin value by 3 per level.,Densely packed memory contacts improve pin calculation yield.
pin_precision_contacts,Precision Memory Contacts,Pin,160,1.52,3,BasePinValueIncrease,4.0,pin_dense_lattice,-2,6,true,true,Late-tier base Pin value increase.,Precision contacts extract stronger value from every Plinko collision.
pin_error_guard,Pin Error Guard,Pin,85,1.45,4,ErrorPinRateReduction,0.005,pin_value_matrix|root_error_firmware,1,5,false,false,Reduces Error Pin rate per level.,Stabilizes the memory surface against corrupted contact points.
pin_amplifier_trace,Pin Amplifier Trace,Pin,120,1.5,3,ChipsetTierAmplifier,1.0,pin_value_matrix|root_amplifier_chipset,-1,3,false,false,Improves Amplifier Chipset tier.,Routes pin-side signal gain into the Amplifier chipset.
slot_value_register,Slot Value Register,Slot,40,1.4,5,BaseSlotValueIncrease,2.0,root_output_register,4,0,false,false,Increases base Slot value by 2 per level.,Improves final Plinko output registers.
slot_wide_bus,Wide Slot Bus,Slot,100,1.48,4,BaseSlotValueIncrease,3.0,slot_value_register,5,1,false,false,Increases base Slot value by 3 per level.,Widens the reward output bus.
slot_precision_output,Precision Output Register,Slot,160,1.52,3,BaseSlotValueIncrease,4.0,slot_wide_bus,6,2,true,true,Late-tier base Slot value increase.,Precision output control improves resolved Plinko rewards.
slot_error_guard,Slot Error Guard,Slot,90,1.45,4,ErrorSlotRateReduction,0.006,slot_value_register|root_error_firmware,5,-1,false,false,Reduces Error Slot rate per level.,Stabilizes final result slots against corrupted output states.
slot_overclock_trace,Slot Overclock Trace,Slot,120,1.5,3,ChipsetTierOverclock,1.0,slot_value_register|root_amplifier_chipset,3,-1,false,false,Improves Overclock Chipset tier.,Routes final output throughput into the Overclock chipset.
error_pin_limiter,Error Pin Limiter,ErrorCorrection,45,1.42,5,ErrorPinRateReduction,0.006,root_error_firmware,0,-4,false,false,Reduces Error Pin rate by 0.6 percent per level.,Limits corrupted memory contacts before board generation.
error_slot_limiter,Error Slot Limiter,ErrorCorrection,55,1.44,5,ErrorSlotRateReduction,0.006,root_error_firmware,1,-5,false,false,Reduces Error Slot rate by 0.6 percent per level.,Limits corrupted final result slots.
dual_error_filter,Dual Error Filter,ErrorCorrection,145,1.52,4,ErrorPinRateReduction,0.007,error_pin_limiter|error_slot_limiter,-1,-5,false,true,Further reduces Error Pin rate.,Coordinates pin and slot validation into one correction filter.
output_sanitizer,Output Sanitizer,ErrorCorrection,150,1.52,4,ErrorSlotRateReduction,0.007,error_pin_limiter|error_slot_limiter,2,-6,false,true,Further reduces Error Slot rate.,Sanitizes final slot states before reward resolution.
correction_chipset_trace,Correction Chipset Trace,ErrorCorrection,140,1.5,3,ChipsetTierErrorCorrection,1.0,root_error_firmware|root_amplifier_chipset,-1,-3,false,false,Improves Error Correction Chipset tier.,Routes firmware correction into the special purpose chipset layer.
amplifier_tier_bus,Amplifier Tier Bus,Chipset,110,1.5,4,ChipsetTierAmplifier,1.0,root_amplifier_chipset,-4,0,false,false,Improves Amplifier Chipset tier.,Amplifies run-limited Global Pin Multiplier potential.
overclock_tier_bus,Overclock Tier Bus,Chipset,120,1.5,4,ChipsetTierOverclock,1.0,root_amplifier_chipset,-5,-1,false,false,Improves Overclock Chipset tier.,Improves run-limited Global Slot Multiplier potential.
correction_tier_bus,Correction Tier Bus,Chipset,130,1.5,4,ChipsetTierErrorCorrection,1.0,root_amplifier_chipset,-5,1,false,false,Improves Error Correction Chipset tier.,Improves run-limited Error Pin and Error Slot suppression.
amplifier_matrix_core,Amplifier Matrix Core,Chipset,260,1.58,3,ChipsetTierAmplifier,1.0,amplifier_tier_bus|pin_amplifier_trace,-6,2,true,true,Late-tier Amplifier Chipset improvement.,Combines chipset and memory signal gain.
overclock_matrix_core,Overclock Matrix Core,Chipset,260,1.58,3,ChipsetTierOverclock,1.0,overclock_tier_bus|slot_overclock_trace,-6,-2,true,true,Late-tier Overclock Chipset improvement.,Combines chipset and output throughput gain.
correction_matrix_core,Correction Matrix Core,Chipset,280,1.58,3,ChipsetTierErrorCorrection,1.0,correction_tier_bus|correction_chipset_trace,-7,0,true,true,Late-tier Error Correction Chipset improvement.,Combines firmware filtering and correction chipset logic.
mainboard_compression_plane,Mainboard Compression Plane,Core,420,1.62,3,CompressionThresholdReduction,1.0,compression_refinement_kernel|compression_memory_bridge|compression_output_bridge,4,3,true,true,High-tier Compression Threshold reduction.,Synchronizes the compression layer across the mainboard.
mainboard_memory_plane,Mainboard Memory Plane,Core,440,1.62,3,BasePinValueIncrease,5.0,pin_precision_contacts|amplifier_matrix_core,-3,7,true,true,High-tier base Pin value increase.,Synchronizes high-value memory contacts with chipset amplification.
mainboard_output_plane,Mainboard Output Plane,Core,440,1.62,3,BaseSlotValueIncrease,5.0,slot_precision_output|overclock_matrix_core,7,1,true,true,High-tier base Slot value increase.,Synchronizes precision output with chipset overclocking.
mainboard_fault_plane,Mainboard Fault Plane,Core,460,1.62,3,ErrorSlotRateReduction,0.008,dual_error_filter|output_sanitizer|correction_matrix_core,-2,-7,true,true,High-tier Error Slot rate reduction.,Stabilizes final reward output against severe corrupted states.
analog_mainframe_sync,Analog Mainframe Sync,Core,720,1.7,2,CompressionThresholdReduction,1.0,mainboard_compression_plane|mainboard_memory_plane|mainboard_output_plane,5,5,true,true,Final mainframe synchronization upgrade.,The analog mainframe begins to process Plinko preparation data as one unified circuit.
corrected_reward_plane,Corrected Reward Plane,Core,760,1.7,2,ChipsetTierErrorCorrection,1.0,mainboard_fault_plane|analog_mainframe_sync,4,-5,true,true,Final Error Correction chipset upgrade.,A final correction layer applied before Plinko reward resolution.
